x,y,utc
914281.118983,574846.441723,1394729361.0
913376.330386,574804.18575,1394729461.0
914452.172977,574618.287739,1394729559.0
914587.317148,574671.101147,1394729697.0
914436.476179,574875.726143,1394729780.0
914286.111201,574825.059453,1394729893.0
913377.697596,574803.632992,1394730110.0
913763.250129,574863.363897,1394730240.0
913689.170117,574947.864867,1394730305.0
913298.641688,575676.070528,1394730424.0
913438.004057,574771.450534,1394730478.0
913582.106074,575643.322411,1394730591.0
913375.625291,574941.131799,1394730607.0
914241.666221,575960.594603,1394730750.0
913977.054159,575454.089483,1394730787.0
913977.415382,575451.489607,1394730859.0
913972.25249,575453.143356,1394730878.0
913978.369501,575454.010876,1394730912.0
912278.155431,579507.257999,1394730940.0
913978.369501,575454.010876,1394731025.0
914001.043167,574575.843042,1394731095.0
911529.796461,579155.821669,1394731162.0
914001.954299,574576.900729,1394731223.0
913976.19105,575454.63641,1394731230.0
913061.713454,573758.727769,1394731235.0
914233.211439,575360.438678,1394731299.0
913976.466438,575450.288609,1394731309.0
913441.082034,574930.418061,1394731359.0
914242.795883,575310.225855,1394731370.0
914591.635824,574776.1186,1394731500.0
914163.034975,574726.267213,1394731518.0
913975.233667,575452.955704,1394731802.0
912093.321922,577552.571165,1394731883.0
913974.288828,575453.649052,1394731884.0
913973.177952,575451.920313,1394731914.0
913029.158987,573796.757641,1394732084.0
913971.716339,575448.531989,1394732113.0
913755.97626,575296.148554,1394732130.0
